Género;Rango_Etario;Localidad;Situación_país;AprobaciónVázquez;CambiosUy;AprobaciónPeña;CambiosLava;Voto2014;VotoInternas;Proyección2019;PrioridadesNacional;Diputados;Senado;InterésEnPolítica;IdentificaciónIdeológica;NivelEstudios;SituaciónEconómica;Intendente;Televisión;Radio;Ponderador
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Juan Sartori;Me gusta mucho;Ultra Derecha;Secundaria Incompleta;Mala;Mario García;SI;SI;0,5152
Femenino;de 30 a 39;Minas;Muy Mala;Desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;No Voté;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Julio María Sanguinetti;Me gusta mucho;Ultra Derecha;Secundaria Incompleta;Muy Mala;Ninguno;SI;No;1,239
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Oferta Educativa;Frente Amplio;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Juan Sartori;Me gusta mucho;Centro;Secundaria Incompleta;Mala;Mario García;NO;SI;
Femenino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Frente Amplio;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Gustavo Zubía;Me gusta;Centro;Secundaria Completa;Regular;Mario García;SI;SI;0,1595
Femenino;de 40 a 50;Varela;Muy Mala;Desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Cabildo Abierto;Voto principalmente a quiénes integran la lista al senado;Ernesto Cesar;Ernesto Talvi;Me gusta mucho;Ultra Derecha;Secundaria Completa;Regular;Martín Aguirrezabala;NO;SI;0,5115
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Empleo;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Gustavo Risso;Ninguno;Me interesa;Centro;Terciario Completo;Regular;Mario García;NO;No;0,5152
Femenino;de 23 a 29;Minas;Muy Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Nacional;No lo sé;Alexandra Inzaurralde;Luis Lacalle Pou;Algo;Centro;Secundaria Completa;Mala;Mario García;NO;No;1,3806
Masculino;de 30 a 39;Minas;Muy Buena;Aprueba;Vivienda;Desaprueba;Los Políticos;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes integran la lista al senado;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Centro;Terciario Incompleto;Buena;Pablo Fuentes;NO;SI;0,5249
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Otro;No Voté;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Juan Sartori;Me gusta;Ultra Derecha;Terciario Completo;Mala;Mario García;NO;No;0,9912
Masculino;de 23 a 29;Minas;Buena;Aprueba;Seguridad Pública;Ni aprueba ni desaprueba;Servicios Públicos;Partido Nacional;Partido Nacional;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Ernesto Talvi;Me interesa;Centro Izquierda;Secundaria Completa;Buena;Mario García;NO;SI;2,1252
Masculino;de 40 a 50;Minas;Regular;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Gustavo Zubía;Me interesa;Derecha Dura;Secundaria Completa;Regular;Mario García;NO;No;1,288
Masculino;de 40 a 50;Batlle y Ordóñez;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Carol Aviaga;Algo;Ultra Derecha;Secundaria Incompleta;Regular;Mario García;SI;SI;1,288
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Empleo;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Carol Aviaga;Carol Aviaga;Me interesa;Derecha Dura;Secundaria Completa;Regular;Mario García;NO;No;0,5152
Femenino;de 51 a 64;Minas;Regular;No lo sé;Seguridad Pública;No lo sé;Seguridad Pública;Frente Amplio;No Voté;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Ninguno;Ninguno;Me gusta mucho;Centro;Secundaria Incompleta;Mala;Ninguno;SI;No;0,9912
Masculino;de 23 a 29;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Seguridad Pública;Partido Colorado;No Voté;Partido Colorado;Voto principalmente a quiénes van a la diputación;Gustavo Risso;Gustavo Zubía;Algo;Derecha Moderada;Terciario Completo;Buena;Mario García;NO;No;4,0887
Femenino;de 51 a 64;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;No lo Sé;Julio María Sanguinetti;Algo;Centro Derecha;Secundaria Incompleta;Regular;Pablo Fuentes;SI;SI;0,2128
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;No Voté;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Juan Sartori;Algo;Derecha Dura;Secundaria Completa;Mala;Ninguno;SI;No;0,9735
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Partido Independiente;Partido Independiente;Partido Independiente;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Ninguno;Me gusta mucho;Centro;Secundaria Completa;Buena;Mario García;SI;SI;0,168
Masculino;de 18 a 22;Minas;Buena;Desaprueba;Seguridad Pública;Aprueba;Seguridad Pública;Partido Nacional;No Voté;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Luis Lacalle Pou;Nada;Izquierda Moderada;Primaria Incompleta;Regular;Daniel Ximénez;NO;No;4,248
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Voto principalmente a quiénes van a la diputación;Robert Bouvier;Ernesto Talvi;Me interesa;Centro;Terciario Completo;Buena;Luis Carrese;SI;SI;0,5208
Femenino;de 23 a 29;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Seguridad Pública;Partido Nacional;Cabildo Abierto;Cabildo Abierto;No lo sé;No lo Sé;No lo sé;Algo;Derecha Dura;Secundaria Incompleta;Muy Mala;No lo sé;SI;SI;0,2964
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;En Blanco / Anulado;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Ninguno;Me interesa;Centro;Primaria Completa;Mala;Daniel Ximénez;NO;No;0,209
Femenino;de 23 a 29;Minas;Mala;Desaprueba;Jubilaciones y Pensiones;Ni aprueba ni desaprueba;Falta de Empleo;Partido Independiente;No Voté;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;No lo sé;Nada;Centro Derecha;Secundaria Incompleta;Regular;No lo sé;SI;SI;1,3806
Femenino;de 23 a 29;Minas;Buena;Ni aprueba ni desaprueba;Salud;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Partido Nacional;Todavía no lo he decidido;No lo sé;Carol Aviaga;Carol Aviaga;Nada;Centro;Universitario Completo;Regular;No lo sé;NO;No;0,7176
Femenino;de 40 a 50;Minas;Muy Mala;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Vivienda;Frente Amplio;Partido Nacional;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Julio María Sanguinetti;Nada;Centro;Terciario Completo;Buena;Mario García;NO;No;0,506
Femenino;de 30 a 39;Minas;Mala;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Bajos Salarios;Frente Amplio;Frente Amplio;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Ernesto Cesar;Daniel Martínez;Casi nada;Izquierda Dura;Secundaria Incompleta;Mala;Daniel Ximénez;NO;SI;0,203
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Luis Lacalle Pou;Me interesa;Derecha Moderada;Secundaria Incompleta;Regular;Gastón Elola;SI;No;0,506
Femenino;de 23 a 29;Minas;Regular;Aprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;Danilo Astori;Casi nada;Izquierda Moderada;Primaria Completa;Regular;Daniel Ximénez;SI;SI;0,2262
Femenino;de 23 a 29;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Todavía no lo he decidido;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Daniel Martínez;Algo;Centro Izquierda;Secundaria Incompleta;Mala;Mario García;NO;No;1,3806
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Partido Independiente;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Tomás Casas;Gustavo Zubía;Casi nada;Derecha Dura;Primaria Incompleta;Regular;No lo sé;NO;No;0,2128
Masculino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Frente Amplio;Partido Nacional;Todavía no lo he decidido;Soy Indiferente;Alexandra Inzaurralde;Juan Sartori;Algo;Centro Derecha;Secundaria Incompleta;Mala;Mario García;SI;SI;1,288
Femenino;de 51 a 64;Minas;Regular;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;No lo Sé;No lo sé;Me gusta;Derecha Dura;Secundaria Completa;Buena;No lo sé;NO;No;0,2128
Masculino;de 30 a 39;Minas;Buena;Aprueba;Medio Ambiente;Desaprueba;Los Políticos;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes integran la lista al senado;Julián Mazzoni;Ernesto Talvi;Me gusta mucho;Izquierda Moderada;Universitario Completo;Buena;Ninguno;NO;No;0,5249
Masculino;de 51 a 64;Minas;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Robert Bouvier;Ernesto Talvi;Me gusta mucho;Centro;Universitario Completo;Buena;Ninguno;SI;No;1,1718
Masculino;de 51 a 64;Varela;Muy Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;Gustavo Zubía;Me gusta mucho;Ultra Derecha;Primaria Completa;Regular;Mario García;NO;SI;0,4788
Femenino;de 51 a 64;Minas;Regular;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Luis Lacalle Pou;Me gusta mucho;Centro;Terciario Completo;Regular;Mario García;SI;SI;0,5152
Femenino;de 51 a 64;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Vivienda;Frente Amplio;Frente Amplio;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;Danilo Astori;Me interesa;Ultra Izquierda;Secundaria Incompleta;Regular;Daniel Ximénez;NO;No;0,1624
